$
$
$  ROCKET PARAMETER DEFINITION
$  ntM - HyperTEK M tank
$
$ parameter,value
$
$ rocket airframe parameters
$
rocket_height, 1.155
rocket_diameter, 0.058
m_dry, 2.
m_fuel, 0.7
CG_dry, 0.625
CG_fuel, 0.625
MOI_dry_x, 0.011
MOI_dry_y, 3.2663
MOI_dry_z, 3.2663
MOI_fuel_x, 0.001
MOI_fuel_y, 0.038
MOI_fuel_z, 0.038

$
$ rocket aerodynamic parameters
$
CP_body, 0.74
Cd0, 0.55
$
$ fin configuration
$
$fin_alpha, 0.  
$LE_fins, 2.2  
$fin_Lroot, 0.18  
$fin_Ltip, 0.096   
$fin_h, 0.09     
$fin_ang, 39.5
$fin_dis, 3

$
$ numerical parameters
$
dt, 0.0005
t_max, 1000.

$              
$ launch parameters
$
elev_angle, 80.
azimuth, 135.  
$azimuth, 135.  
wind_direction, 90.
wind_speed, 4.
rail_length, 5.

$
$ engine parameters
$
t_MECO, 10.
thrust, 1200.

$
$ parachute parameters
$
t_para_delay, 1.
$t_deploy, 28.
Cd_para,1.
S_para,0.02


